Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow,Canada_Outdoor_Mobility,Canada_indoorMobility,Germany_Outdoor_Mobility,Germany_indoorMobility,France_Outdoor_Mobility,France_indoorMobility,Japan_Outdoor_Mobility,Japan_indoorMobility,Italy_Outdoor_Mobility,Italy_indoorMobility,United_Kingdom_Outdoor_Mobility,United_Kingdom_indoorMobility,temp_canada,temp_uk,temp_italy,temp_japan,temp_germany,temp_france
2020-04-20T00:00:00.000+0000,2025,0,2256,4676,1881,2380,1277,501,3047,5850,1842,4902,1542,509,3491,5525,1945,17,2005,712,3493,5599,3699,1979,1629,425.42857142857144,3101.714285714286,5160.285714285715,2427.5714285714284,3201.714285714286,1.6610446143802895,-1.1103195453342432,0.6972986102181188,1.2271039968895263,0.9022652760471421,1.1213934695863212,2,-44,22,-30,13,-72,30,-33,14,-76,29,-57,25,45.123671497584525,51.71923076923077,56.57307692307692,55.275641025641036,51.802,62.5
2020-04-21T00:00:00.000+0000,1744,338,2729,4301,1226,2733,2025,0,2256,4676,1881,2380,1277,501,3047,5850,1842,4902,1542,509,3491,5525,1945,17,1684.5714285714287,434.42857142857144,3067,5024.428571428572,2418.8571428571427,2883.714285714286,1.419958492824455,1.561236686604369,0.900963217583614,1.1158589507285663,0.48125634043937016,1.2379135207614131,3,-50,23,-29,14,-71,31,-28,14,-75,29,-56,26,45.974396135265685,52.130769230769246,57.638461538461534,55.76923076923076,53.30816326530612,62.05
2020-04-22T00:00:00.000+0000,2025,377,3370,4451,2357,2206,1744,338,2729,4301,1226,2733,2025,0,2256,4676,1881,2380,1277,501,3047,5850,1842,4902,1806.142857142857,423.2857142857143,3167.4285714285716,5002.714285714285,2270.714285714286,2739.4285714285716,1.6610446143802895,1.622828974442488,1.1238627198233508,1.1612816219446571,1.115966395458953,1.054569543744736,4,-50,24,-26,13,-70,28,-31,14,-75,30,-56,27,45.5589371980676,52.43846153846155,57.71153846153846,55.576923076923066,54.38510638297872,59.3
2020-04-23T00:00:00.000+0000,1636,712,2646,4583,2481,2311,2025,377,3370,4451,2357,2206,1744,338,2729,4301,1226,2733,2025,0,2256,4676,1881,2380,1750.5714285714287,449.85714285714283,3004.5714285714284,4997.857142857143,2204.4285714285716,2361.1428571428573,1.3196918747200879,1.8317506169921336,0.8679287815290414,1.2002249587805436,1.1623634809652,1.0957127420562949,5,-46,24,-26,13,-70,30,-31,15,-73,30,-55,27,44.947115384615365,51.417307692307695,58.63076923076922,55.821794871794864,55.998000000000005,54.45
2020-04-24T00:00:00.000+0000,1620,461,3021,5386,1870,1610,1636,712,2646,4583,2481,2311,2025,377,3370,4451,2357,2206,1744,338,2729,4301,1226,2733,1695.5714285714287,414,2937.1428571428573,4967.428571428572,1943.142857142857,2308.4285714285716,1.304444428359499,1.7148948668795376,1.009149400029368,1.4183227643240885,0.8965543545508214,0.7634917438171424,6,-44,25,-30,14,-70,33,-28,16,-71,29,-55,27,45.631249999999994,50.65961538461538,59.02499999999998,56.30256410256412,55.56666666666666,52.05
2020-04-25T00:00:00.000+0000,1452,402,2357,4913,1514,1656,1620,461,3021,5386,1870,1610,1636,712,2646,4583,2481,2311,2025,377,3370,4451,2357,2206,1682.7142857142858,398.7142857142857,2775.1428571428573,4880,1881.5714285714287,2542.5714285714284,1.1377849002034166,1.655183421556588,0.7440856752134547,1.2936020220367872,0.688552602718336,0.790069437426357,7,-41,14,-29,9,-73,22,-32,14,-83,28,-57,18,45.56201923076925,50.12115384615384,58.62499999999999,56.448717948717935,55.086274509803914,51.55
2020-04-26T00:00:00.000+0000,1662,210,2324,4463,1257,555,1452,402,2357,4913,1514,1656,1620,461,3021,5386,1870,1610,1636,712,2646,4583,2481,2311,1737.7142857142858,357.14285714285717,2671.8571428571427,4681.857142857143,1798,1921.5714285714287,1.3442484871200628,1.2011064205887823,0.7290099230108549,1.1648611131484,0.5055290700735109,-0.14816381098529885,1,-51,13,-19,6,-73,16,-35,12,-79,22,-58,14,45.88743961352659,50.22692307692307,58.623076923076944,56.95384615384615,54.84727272727271,50.7
2020-04-27T00:00:00.000+0000,1583,712,1739,4309,988,3742,1662,210,2324,4463,1257,555,1452,402,2357,4913,1514,1656,1620,461,3021,5386,1870,1610,1674.5714285714287,458.85714285714283,2598,4629.428571428572,1670.4285714285713,2116.1428571428573,1.2687813729337276,1.8317506169921336,0.4243297274204169,1.118313701878497,0.2767694591053664,1.4703996821514203,2,-43,21,-26,12,-69,28,-32,15,-70,26,-56,25,46.41980676328503,50.53846153846154,58.80769230769231,58.27051282051283,54.56153846153847,53.3
2020-04-28T00:00:00.000+0000,1534,417,2091,3996,1154,3016,1583,712,1739,4309,988,3742,1662,210,2324,4463,1257,555,1452,402,2357,4913,1514,1656,1644.5714285714287,470.14285714285717,2506.8571428571427,4585.857142857143,1660.142857142857,2156.5714285714284,1.2206640436804503,1.6723806890245925,0.6165593279700123,1.0194441768332083,0.42287510053921007,1.31606065975597,3,-42,16,-32,13,-67,28,-27,14,-72,26,-63,25,47.306280193236766,51.57500000000001,58.926923076923075,59.35256410256409,56.15294117647061,54.400000000000006
2020-04-29T00:00:00.000+0000,1715,159,2086,4076,1627,2512,1534,417,2091,3996,1154,3016,1583,712,1739,4309,988,3742,1662,210,2324,4463,1257,555,1600.2857142857142,439,2323.4285714285716,4532.285714285715,1555.857142857143,2200.285714285714,1.393479158959032,0.9376091307350608,0.614025189889234,1.0452784855553594,0.7597666666420503,1.167737454453452,4,-43,22,-32,13,-67,27,-31,22,-70,27,-61,27,48.271153846153844,52.44615384615385,59.37692307692306,59.68974358974359,54.889655172413796,56.900000000000006
