Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow
2020-03-23T00:00:00.000+0000,619,27,4789,967,4183,3838,189,94,5560,665,2660,1736,334,44,5909,1035,2365,1670,142,39,5909,1294,4528,1741,237.42857142857142,41.285714285714285,5031.714285714285,729.5714285714286,3112,1889,0.07842898111945054,-0.5373744852188546,1.4698038510971663,-0.3770957524185596,1.561480076055549,1.4868888328386147,2
2020-03-24T00:00:00.000+0000,702,65,5249,1427,3930,2448,619,27,4789,967,4183,3838,189,94,5560,665,2660,1736,334,44,5909,1035,2365,1670,329.57142857142856,45,5277.857142857143,875.2857142857143,3389.8571428571427,2093.1428571428573,0.20628260868349965,0.06544137476301858,1.551883836957738,-0.09415838161023736,1.522087134996701,1.145709530508934,3
2020-03-25T00:00:00.000+0000,461,114,5210,1452,4337,2929,702,65,5249,1427,3930,2448,619,27,4789,967,4183,3838,189,94,5560,665,2660,1736,370,59.714285714285715,5421.142857142857,986.1428571428571,3570.8571428571427,2312.8571428571427,-0.1831517233743663,0.6018707900471635,1.5453623765039883,-0.07975206122467854,1.5831820858124739,1.2933085937919482,4
2020-03-26T00:00:00.000+0000,791,80,5909,2129,6365,3922,461,114,5210,1452,4337,2929,702,65,5249,1427,3930,2448,619,27,4789,967,4183,3838,462.57142857142856,66.14285714285714,5505,1281.2857142857142,4052.5714285714284,2612,0.33680072914577786,0.25362886277889896,1.6516027240899522,0.2776798180834606,1.7631387727819745,1.5006973254701392,5
2020-03-27T00:00:00.000+0000,640,81,5909,2885,6365,3809,791,80,5909,2129,6365,3922,461,114,5210,1452,4337,2929,702,65,5249,1427,3930,2448,533.7142857142857,72.14285714285714,5505,1508.5714285714287,4315,2907.4285714285716,0.11136395055164618,0.26534175484316497,1.6516027240899522,0.6143419488430912,1.7631387727819745,1.4819891565910712,6
2020-03-28T00:00:00.000+0000,894,225,5909,2546,6365,4611,640,81,5909,2885,6365,3809,791,80,5909,2129,6365,3922,461,114,5210,1452,4337,2929,613.7142857142857,98,5505,1724.4285714285713,4886.428571428572,3327.5714285714284,0.48004018240389645,1.2615616085411807,1.6516027240899522,0.47050503872305305,1.7631387727819745,1.595470070036659,7
2020-03-29T00:00:00.000+0000,704,173,5217,2433,4400,2599,894,225,5909,2546,6365,4611,640,81,5909,2885,6365,3809,791,80,5909,2129,6365,3922,687.2857142857143,109.28571428571429,5456,1977,5135,3450.8571428571427,0.20928838141065784,1.0202461666142284,1.5465385323485559,0.42007561130403,1.591607183753717,1.196415091291416,1
2020-03-30T00:00:00.000+0000,1118,0,4050,2619,4790,4376,704,173,5217,2433,4400,2599,894,225,5909,2546,6365,4611,640,81,5909,2885,6365,3809,758.5714285714286,105.42857142857143,5350.428571428572,2213,5221.714285714285,3527.714285714286,0.765930891758351,-1.1103195453342432,1.3102063020345036,0.5024030427989769,1.6385378695473405,1.5664794734222367,2
2020-03-31T00:00:00.000+0000,1129,87,4053,3009,4923,4959,1118,0,4050,2619,4790,4376,704,173,5217,2433,4400,2599,894,225,5909,2546,6365,4611,819.5714285714286,108.57142857142857,5179.571428571428,2439,5363.571428571428,3886.4285714285716,0.7791492762768996,0.3335843963892802,1.3109355823732007,0.6643383159520317,1.6526973940755147,1.6331847202473022,3
2020-04-01T00:00:00.000+0000,1033,225,4782,4324,6064,4861,1129,87,4053,3009,4923,4959,1118,0,4050,2619,4790,4376,704,173,5217,2433,4400,2599,901.2857142857143,124.42857142857143,5118.428571428572,2849.285714285714,5610.285714285715,4162.428571428572,0.6612980242934207,1.2615616085411807,1.4684626027665006,1.1229064606716572,1.7452987459250766,1.6231397050216725,4
